Name,Year,Date,Comp,Age,Event,Location,Place,Round,Time,Time_sec,Partner
AS,2013,4/4/13,Nationals,U14,MK1 1000m,Perth,4,Final,04:54.3,294.3,
AS,2013,6/4/13,Nationals,U14,MK1 200m,Perth,4,Final,00:52.4,52.4,
AS,2013,7/4/13,Nationals,U14,MK1 500m,Perth,4,Final,02:24.2,144.2,
AS,2013,4/4/13,Nationals,U14,MK2 1000m,Perth,1,Final,04:30.1,270.1,Jakob Hammond
AS,2013,6/4/13,Nationals,U14,MK2 200m,Perth,1,Final,00:49.1,49.1,Jakob Hammond
AS,2013,7/4/13,Nationals,U14,MK2 500m,Perth,2,Final,02:10.5,130.5,Jakob Hammond
AS,2014,30/3/14,Nationals,U16,MK1 1000m,Adelaide,9,Final,04:17.1,257.1,
AS,2014,30/3/14,Nationals,U16,MK1 200m,Adelaide,6,B Final,00:48.8,48.8,
AS,2014,29/3/14,Nationals,U16,MK1 200m,Adelaide,7,Semi-Final,00:46.8,46.8,
AS,2014,30/3/14,Nationals,U16,MK1 500m,Adelaide,9,Final,02:12.8,132.8,
AS,2014,29/3/14,Nationals,U16,MK1 500m,Adelaide,2,Semi-Final,02:02.3,122.3,
AS,2014,30/3/14,Nationals,U16,MK2 1000m,Adelaide,6,Final,04:01.8,241.8,Jakob Hammond
AS,2014,28/3/14,Nationals,U16,MK2 1000m,Adelaide,2,Heat,03:58.8,238.8,Jakob Hammond
AS,2014,30/3/14,Nationals,U16,MK2 200m,Adelaide,5,Final,00:45.1,45.1,Jakob Hammond
AS,2014,29/3/14,Nationals,U16,MK2 200m,Adelaide,1,Semi-Final,00:41.2,41.2,Jakob Hammond
AS,2014,30/3/14,Nationals,U16,MK2 500m,Adelaide,3,Final,01:49.0,109,Jakob Hammond
AS,2015,15/3/15,Nationals,U16,MK1 1000m,SIRC,3,Final,04:01.2,241.2,
AS,2015,15/3/15,Nationals,U16,MK1 200m,SIRC,1,B Final,00:44.5,44.5,
AS,2015,15/3/15,Nationals,U16,MK1 500m,SIRC,4,Final,01:55.2,115.2,
AS,2015,15/3/15,Nationals,U16,MK2 1000m,SIRC,1,Final,03:40.0,220,Jakob Hammond
AS,2015,15/3/15,Nationals,U16,MK2 200m,SIRC,1,Final,00:39.9,39.9,Jakob Hammond
AS,2015,15/3/15,Nationals,U16,MK2 500m,SIRC,2,Final,01:45.5,105.5,Jakob Hammond
AS,2016,6/3/16,Nationals,U18,MK1 1000m,Perth,8,Final,03:50.3,230.3,
AS,2016,5/3/16,Nationals,U18,MK1 1000m,Perth,3,Semi-Final,03:47.4,227.4,
AS,2016,6/3/16,Nationals,U18,MK1 200m,Perth,6,B Final,00:40.4,40.4,
AS,2016,6/3/16,Nationals,U18,MK1 500m,Perth,8,Final,01:47.1,107.1,
AS,2016,6/3/16,Nationals,U18,MK2 1000m,Perth,2,Final,03:23.3,203.3,Jakob Hammond
AS,2016,6/3/16,Nationals,U18,MK2 200m,Perth,4,Final,00:39.4,39.4,Jakob Hammond
AS,2016,4/3/16,Nationals,U18,MK2 200m,Perth,3,Heat,00:36.9,36.9,Jakob Hammond
AS,2016,6/3/16,Nationals,U18,MK2 500m,Perth,2,Final,01:42.7,102.7,Jakob Hammond
AS,2017,10/3/17,Nationals,U18,MK1 1000m,SIRC,7,Final,03:53.5,233.5,
AS,2017,10/3/17,Nationals,U18,MK1 200m,SIRC,9,Final,00:40.8,40.8,
AS,2017,10/3/17,Nationals,U18,MK1 500m,SIRC,1,B Final,01:53.1,113.1,
AS,2017,9/3/17,Nationals,U18,MK1 500m,SIRC,4,Semi-Final,01:49.8,109.8,
AS,2017,26/7/17,World Champs,U18,MK1 500m,Romania,8,Semi-Final,01:59.4,119.4,
AS,2017,10/3/17,Nationals,U18,MK2 1000m,SIRC,1,Final,03:33.2,213.2,Jakob Hammond
AS,2017,25/7/17,World Champs,U18,MK2 1000m,Romania,4,Heat,03:38.1,218.1,George Rugless
AS,2017,10/3/17,Nationals,U18,MK2 200m,SIRC,3,Final,00:37.2,37.2,Jakob Hammond
AS,2017,10/3/17,Nationals,U18,MK2 500m,SIRC,1,Final,01:41.8,101.8,Jakob Hammond
AS,2018,9/3/18,Nationals,U23,MK1 1000m,SIRC,9,Semi-Final,04:06.5,246.5,
AS,2018,9/3/18,Nationals,U23,MK1 200m,SIRC,8,Semi-Final,00:38.9,38.9,
AS,2018,6/3/18,Nationals,U23,MK1 500m,SIRC,6,Heat,01:52.5,112.5,
AS,2018,9/3/18,Nationals,U23,MK1 500m,SIRC,7,Semi-Final,01:54.5,114.5,
AS,2018,10/3/18,Nationals,U23,MK2 500m,SIRC,4,B Final,01:38.4,98.4,Reece Bacchus
AS,2019,10/3/19,Nationals,U23,MK1 1000m,Perth,5,C Final,03:47.6,227.6,
AS,2019,10/3/19,Nationals,U23,MK1 500m,Perth,7,C Final,01:47.3,107.3,
AS,2019,9/3/19,Nationals,U23,MK1 500m,Perth,6,Semi-Final,01:43.8,103.8,
AS,2019,10/3/19,Nationals,U23,MK2 1000m,Perth,8,Final,03:28.2,208.2,Owen McLeod
AS,2019,10/3/19,Nationals,U23,MK2 500m,Perth,4,B Final,01:36.9,96.9,Reece Bacchus
AV,2020,16/3/20,Nationals,U18,WK1 200m,SIRC,2,Final,00:43.8,43.8,
AV,2020,16/3/20,Nationals,U18,WK1 500m,SIRC,8,Final,02:08.5,128.5,
AV,2020,16/3/20,Nationals,u18,WK2 500m,SIRC,1,Final,01:53.9,113.9,Sascha Taurins
BC,2016,6/3/16,Nationals,U16,MK1 1000m,Perth,2,Final,03:52.7,232.7,
BC,2016,6/3/16,Nationals,U16,MK1 200m,Perth,3,B Final,00:44.4,44.4,
BC,2016,5/3/16,Nationals,U16,MK1 200m,Perth,5,Semi-Final,00:43.6,43.6,
BC,2016,6/3/16,Nationals,U16,MK1 500m,Perth,5,Final,01:59.4,119.4,
BC,2016,4/3/16,Nationals,U16,MK1 500m,Perth,1,Heat,01:53.9,113.9,
BC,2016,6/3/16,Nationals,U16,MK2 1000m,Perth,1,Final,03:35.7,215.7,Harrison Armstrong
BC,2016,6/3/16,Nationals,U16,MK2 200m,Perth,3,Final,00:39.4,39.4,Harrison Armstrong
BC,2016,6/3/16,Nationals,U16,MK2 500m,Perth,2,Final,01:52.1,112.1,Harrison Armstrong
BC,2016,5/3/16,Nationals,U16,MK2 500m,Perth,2,Semi-Final,01:45.7,105.7,Harrison Armstrong
BC,2017,10/3/17,Nationals,U18,MK1 1000m,SIRC,7,B Final,04:06.6,246.6,
